,Paper ID,Instance ID,Species,GBIF,Time,Place,Habitats,div_enum
0,fhl_2011_Brezicha_25959.tei.xml,urn:lsid:marinespecies.org:taxname:240762,Strongylocentrotus franciscanus,https://www.gbif.org/species/search?q=Strongylocentrotus franciscanus&qField=SCIENTIFIC,2011-12-09,"[[1505051, 'Friday Harbor'], [1508076, 'San Juan Channel'], [1151035, 'the point'], [2573411, 'Salish Sea'], [247074, 'Pacific Ocean'], [1517973, 'Columbia'], [1659875, 'stone'], [1658588, 'freshwater']]","['sub-tidal', 'close to shore', 'river', 'tree']",1
1,fhl_2011_Brezicha_25959.tei.xml,urn:lsid:marinespecies.org:taxname:431072,radius,https://www.gbif.org/species/search?q=radius&qField=SCIENTIFIC,2011-12-09,"[[1508076, 'San Juan Channel'], [1507585, 'Porter']]",['sea'],3
2,fhl_2011_Brezicha_25959.tei.xml,urn:lsid:marinespecies.org:taxname:711954,Parastichopus californicus,https://www.gbif.org/species/search?q=Parastichopus californicus&qField=SCIENTIFIC,2011-12-09,"[[1507585, 'Porter']]","['sub-tidal', 'sea']",6
3,fhl_2011_Bockmon_26635.tei.xml,urn:lsid:marinespecies.org:taxname:603085,trossulus,https://www.gbif.org/species/search?q=trossulus&qField=SCIENTIFIC,,"[[1514917, 'Jackson Beach'], [1507030, 'north end'], [1508077, 'San Juan Island'], [1523722, 'North Bay'], [1151210, 'tide']]",[],3
4,fhl_2011_Bockmon_26635.tei.xml,urn:lsid:marinespecies.org:taxname:112078,ammonia,https://www.gbif.org/species/search?q=ammonia&qField=SCIENTIFIC,,[],[],11
5,fhl_2011_Bockmon_26635.tei.xml,urn:lsid:marinespecies.org:taxname:112078,Ammonia,https://www.gbif.org/species/search?q=Ammonia&qField=SCIENTIFIC,,[],[],11
6,fhl_2011_Bockmon_26635.tei.xml,urn:lsid:marinespecies.org:taxname:112078,ammonia,https://www.gbif.org/species/search?q=ammonia&qField=SCIENTIFIC,,[],[],12
7,fhl_2011_Broell_26677.tei.xml,urn:lsid:marinespecies.org:taxname:254528,Myoxocephalus polyacanthocephalus,https://www.gbif.org/species/search?q=Myoxocephalus polyacanthocephalus&qField=SCIENTIFIC,,"[[1658713, 'hardy']]",['aquatic'],1
8,fhl_2011_Broell_26677.tei.xml,urn:lsid:marinespecies.org:taxname:254528,Myoxocephalus polyacanthocephalus,https://www.gbif.org/species/search?q=Myoxocephalus polyacanthocephalus&qField=SCIENTIFIC,,"[[1514870, 'beach'], [1508077, 'San Juan Island'], [1505051, 'Friday Harbor']]",['seawater'],3
9,fhl_2011_Broell_26677.tei.xml,urn:lsid:marinespecies.org:taxname:125909,Ammodytes,https://www.gbif.org/species/search?q=Ammodytes&qField=SCIENTIFIC,,"[[1522528, 'low pass'], [247722, 'post'], [1512273, 'Harper'], [1507550, 'pole']]",['seawater'],5
10,fhl_2011_Phillips_26637.tei.xml,urn:lsid:marinespecies.org:taxname:181428,DIC,https://www.gbif.org/species/search?q=DIC&qField=SCIENTIFIC,,"[[1509728, 'Haro Strait'], [1510684, 'San Juan Islands'], [247074, 'Pacific Ocean'], [1507915, 'Rosario Strait'], [1509730, 'Strait of Georgia'], [1508076, 'San Juan Channel'], [1509435, 'western'], [1507653, 'Puget Sound'], [249767, 'southern'], [1504655, 'East Sound'], [1511183, 'Newton'], [1505926, 'Kellett bluff'], [1526614, 'Strait of Juan de Fuca'], [1658588, 'freshwater']]","['coastal', 'areas', 'off-shore', 'river', 'oceanic', 'estuarine']",1
11,fhl_2011_Phillips_26637.tei.xml,urn:lsid:marinespecies.org:taxname:181428,DIC,https://www.gbif.org/species/search?q=DIC&qField=SCIENTIFIC,,"[[1505051, 'Friday Harbor']]",[],4
12,fhl_2011_Phillips_26637.tei.xml,urn:lsid:marinespecies.org:taxname:181428,DIC,https://www.gbif.org/species/search?q=DIC&qField=SCIENTIFIC,,"[[1509728, 'Haro Strait'], [1505051, 'Friday Harbor'], [1508076, 'San Juan Channel'], [1504655, 'East Sound'], [1151210, 'tide'], [1505926, 'Kellett Bluff']]",[],5
13,fhl_2011_Phillips_26637.tei.xml,urn:lsid:marinespecies.org:taxname:181428,DIC,https://www.gbif.org/species/search?q=DIC&qField=SCIENTIFIC,,"[[1508076, 'San Juan Channel'], [1509435, 'western'], [1504655, 'East Sound'], [1151210, 'tide'], [1505926, 'Kellett Bluff'], [1512800, 'White'], [1658588, 'freshwater']]","['estuarine', 'coastal waters', 'river']",6
14,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:1821,chordata,https://www.gbif.org/species/search?q=chordata&qField=SCIENTIFIC,,"[[1529989, 'sand flats']]","['marine', 'downstream']",1
15,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103792,Molgula oculata,https://www.gbif.org/species/search?q=Molgula oculata&qField=SCIENTIFIC,,"[[1529989, 'sand flats']]","['marine', 'downstream']",1
16,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103791,Molgula occulta,https://www.gbif.org/species/search?q=Molgula occulta&qField=SCIENTIFIC,,"[[1529989, 'sand flats']]","['marine', 'downstream']",1
17,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:137600,Saccoglossus kowalevskii,https://www.gbif.org/species/search?q=Saccoglossus kowalevskii&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
18,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:250073,Boltenia villosa,https://www.gbif.org/species/search?q=Boltenia villosa&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
19,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103732,Ciona intestinalis,https://www.gbif.org/species/search?q=Ciona intestinalis&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
20,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103514,Boltenia,https://www.gbif.org/species/search?q=Boltenia&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
21,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103509,Molgula,https://www.gbif.org/species/search?q=Molgula&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
22,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:325914,Mus,https://www.gbif.org/species/search?q=Mus&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
23,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103792,Molgula oculata,https://www.gbif.org/species/search?q=Molgula oculata&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
24,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:10194,Actinopterygii,https://www.gbif.org/species/search?q=Actinopterygii&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
25,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103791,Molgula occulta,https://www.gbif.org/species/search?q=Molgula occulta&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
26,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:876764,musculus,https://www.gbif.org/species/search?q=musculus&qField=SCIENTIFIC,,"[[1512751, 'University'], [1531163, 'view'], [2413619, 'cascade']]",[],2
27,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103792,Molgula oculata,https://www.gbif.org/species/search?q=Molgula oculata&qField=SCIENTIFIC,,"[[1529989, 'sand flats']]",['marine'],4
28,fhl_2011_Pierce_26647.tei.xml,urn:lsid:marinespecies.org:taxname:103791,Molgula occulta,https://www.gbif.org/species/search?q=Molgula occulta&qField=SCIENTIFIC,,"[[1529989, 'sand flats']]",['marine'],4
