,Organization (as author),Place created,Identifier,Author,Title,Year,Abstract,Keywords,XML file
0,Stanford University,Hopkins Marine Station,vf662dy4113,"Berrie, Warren R.; Devereaux, Mitchel W.",Identification and location of carbohydrases in the intestinal tract of Tegula funebralis,1963.0,"Carbohydrate digestion in the snail Tegula funebralis (A. Adams, 1854), was studied. the intestinal sites of hydrolysis of certain carbohydrates and the location of production of their respective enzymes were studied. The presence of an amylase, laminarase, alginase, fucoidase, and cellobiase was demonstrated. The major tissue sources of the above enzymes were: buccal cavity, stomach, digestive gland, spiral caecum, thin and thick hindgut for amylase; buccal cavity and esophagus for laminarase and alginase; buccal, eshoagus, stomach and digestive gland for fucoidase; salivary glands, spiral caecum, thin and thick hindgut for cellobiase. Some of the carbohydrate hydrolysis appears to be due to bacterial action. Intracellular digestion of starch in the wall of the hindgut is indicated.","black turban snail, Tegula",hms_vf662dy4113.tei.xml
1,Stanford University,Hopkins Marine Station,sm915yx0709,"Best, Barbara A.",Feeding activities of Tegula funebralis,1963.0,"1. Tegula funebrals will ingest nearly any alga growing in or out of the littoral zone. Both macroscopic and encrusting forms constitute important food sources; the granite surfaces contain a negligible amount of organic detritus and contribute little to the diet of the animal. Earlier work on T. funebralis and observations of T. gallina show that the animals will ingest organic detritus when it is available. 2. The snail prefers a ""fleshy"" alga among macroscopic forms (e.g. Macrocystis integrifolia, Nereocystis luetkeana, and Gigartina canaliculata). 3. Feeding rates per gram are greater in the smaller animals and apparently not affected by lack of sunlight. 4. A short field suggests the importance of the feeding activities of Tegula funebralis on the local algal crops.","black turban snail, Tegula",hms_sm915yx0709.tei.xml
2,Stanford University,Hopkins Marine Station,pk656qr6331,"Black, Patricia Ann",Description and habitat of some micro-organisms found in Tegula funebralis,1963.0,"The digestive tract of a gastropod was examined to determine type, location, and density of micro-organisms. Digestive contents were examined microscopically and streaked on to media. The center of density was the stomach, spiral caecum, and digestive gland area, where abundant yeast cells were seen and numerous rod-shaped bacteria cultured. Cocci were seen most abundantly throughout, although rarely cultured. Spiral organisms, thought to be two spirochaetes and a spirillum, were found in the stomach and described. The pH of the gut varied from 6.5 to 7.5.","black turban snail, Tegula",hms_pk656qr6331.tei.xml
3,Stanford University,Hopkins Marine Station,zx897dq3818,"Bollay, Melody","Distribution and utilization of gastropod shells by the hermit crabs Pagurus samuelis, Pagurus granosimanus, and Pagurus hirsutiusculus at Pacific Grove, California",1963.0,"1) Of the three species of hermit crabs found in the intertidal zone at Hopkins Marine Station, Pacific Grove, Pagurus samuelis is the only one encountered at positions higher than about 1.2 m, P. hirsutiusculus and P. granosimanus being found lower. 2) Of the three species, Pagurus samuelis appears to be able to survive exposure out of water better than the other two. Adults of P. hirsutiusculus are least able to withstand exposure to air in sunlight. 3) The three species make use of various shells to different degrees. 89% of the Pagurus granosimanus and 75.9% of the P. samuelis collected occupy Tegula funebralis shells, whereas, the smaller P. hirsutiusculus tended to occupy shells of smaller snails such as Epitonium, Mitrella, Homolapoma, etc. to a greater degree. 4) The bigger Pagurid individuals are largely dependent on Tegula funebralis for homes whereas the smaller sized hermit crabs are not, and occupy a variety of small shells. 5) Both Pagurus samuelis and P. hirusutiusculus attain sexual maturity at a relatively small size and thus are not completely dependent on Tegula funebralis for the survival and reproduction of the species. However, when larger shells are not available, the reproduction potential in P. samuelis may be greatly reduced since the smaller individuals produce far fewer eggs than the larger ones.","black turban snail, Tegula",hms_zx897dq3818.tei.xml
4,Stanford University,Hopkins Marine Station,nc027vz8731,"Burke, William Romney",Chemoreception by Tegula funebralis (Mollusca: Gastropoda),1963.0,"Tegula funebralis has both gustatory and olfactory sense sites. The side of the foot, the head tentacles, and the epipodial structures serve as contact chemoreceptive sites. Extirpation or scraping of these structures does not alter the overall sensitivity to Pisaster ochraceus. Scraping the bottom of the foot, cutting the border between the side and bottom of the foot, removal of the epipodial fringe (on the left side of the foot), removal of up to half of the ctenidium do not noticeably alter chemoreception. The osphradium functions as an olfactory organ and is capable of detecting the presence of an extract containing 2.6 X 10^-5 parts by weight of tube feet from Pisaster ochraceus. The osphradium, when stimulated, seems to cause the animals to be more sensitive to stimulations of the head tentacles and epipodial structures. Removal of part of the osphradium does not result in appreciable change of chemoreceptive abilities of T. funebralis.","black turban snail, Tegula",hms_nc027vz8731.tei.xml
5,Stanford University,Hopkins Marine Station,pr980qm4958,"Eikenberry, Arthur B. Jr.; Wickizer, Diane E.","Studies on the commensal limpet Acmaea asmi in relation to its host, Tegula funebralis",1963.0,"Acmaea asmi is distributed in the rocky intertidal at Mussel Point between the vertical height of 0-6 feet (with maximum density from 2-4 feet and from 0-52 meters from the higher high water mark. The animal lives on the shell of Tegula funebralis and seems to be attracted not only by microscopic algae as a food source, but also by some property of living T. funebralis. Experiments were carried out to determine preference of A. asmi for various shell substrates, in addition to investigating the transfer rate. The respiration of the algal crop of T. funebralis and of A. asmi was measured to find an index of feeding rate.","black turban snail, Tegula",hms_pr980qm4958.tei.xml
6,Stanford University,Hopkins Marine Station,dv385wb4436,"Erickson, Allan D.",Proteolytic enzymes in the gastropod Tegula funebralis,1963.0,"Three proteolytic enzymes were found in the digestive tract of T. funebralis, which had pH optima of 5.0, 8.6 and 10.5. The enzyme extract was a saline homogenate of the entire digestive tract, which had been centrifuged, filtered, and then filtered through a Sephadex G-50 column. The substrate used was sodium caseinate. Activators included Mn++, and cysteine: inhibitors included Co++, Zn++, and Hg++.","black turban snail, Tegula",hms_dv385wb4436.tei.xml
7,Stanford University,Hopkins Marine Station,qc924pc4267,"Holz, Wally",The relation of carrageenan content and desiccation resistance to tidal height in Gigartina papillata,1963.0,"Eighteen samples of Gigartina papillata from relatively high, medium and low tidal heights in the upper midtidal zone on an exposed section of California coastline were analyzed for total carrageenan content. Results showed an increase in carrageenan content in relation to increasing tidal height. Desiccation and rehydration rates for high and low samples desiccated more slowly and rehydrated faster than low samples. The difference in carrageenan content is thought to account for this difference.",midtide forest community,hms_qc924pc4267.tei.xml
8,Stanford University,Hopkins Marine Station,qp204hg2738,"Howe, Mark W.",The activity pattern of Tegula funebralis,1963.0,"The activity pattern of the black turban snail Tegula funebralis (A. Adams, 1854) at Pacific Grove, California is the subject of this article. Field studies were carried out to follow the locomotory and feeding activities, to determine how much of each animal's time was spent in each of these activities, and when and under what environmental conditions they occurred.","black turban snail, Tegula",hms_qp204hg2738.tei.xml
9,Stanford University,Hopkins Marine Station,yz103jq2336,"Howe, Mark W.","The affects of osmolality on contraction of the shell-foot retractor muscle in the limpet, Collisella digitalis",1963.0,"The columellar muscle (foot-shell retractor) of the intertidal limpet Collisella digitalis is responsible for the tenacity with which this limpet can hold onto rock substrate in response to mechanical stress (i.e. wave action and predation) (Fretter, 1962). Consequently, desiccation and splash provide great osmotic stress upon this intertidal limpet. This paper describes the varying excitability and ""catch"" characteristics of the foot-shell retractor muscle under varying osmotic stress.",biology of limpets,hms_yz103jq2336.tei.xml
